,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239742246,身為男生的我覺得有點怪?,被演算法推到，想說以前也是康熙粉就來看一下，下一part覺得怪的部分，就說了謠言止於智者，還要繼續補，後面都給台階下了......，我是不認識她（珍妮）啦，想問問她的評價是如何，還是是節目效果只是我誤,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 05:30:30.037000+00:00,0,0,"['男生', '女生', '閒聊', '有趣', '孫生']",閒聊,,"[{'url': 'https://imgur.com/GK0nE87.jpg'}, {'url': 'https://imgur.com/tVnz5yV.jpg'}, {'url': 'https://imgur.com/BGvsVAB.jpg'}, {'url': 'https://imgur.com/Hip9F6e.jpg'}, {'url': 'https://imgur.com/5kDDXrp.jpg'}, {'url': 'https://imgur.com/oTQ04Ih.jpg'}, {'url': 'https://imgur.com/j5p0cbl.jpg'}, {'url': 'https://imgur.com/ADxuCpE.jpg'}]",身為男生我覺得有點怪被演算法推到想說以前也是康熙粉就來看一下下一part覺得怪部分就說了謠言止於智者還要繼續補後面都給台階下了我是不認識她珍妮啦想問問她評價是如何還是是節目效果只是我誤,"['身為', '男生', '我', '覺得', '有點', '怪', '被', '演算法', '推到', '想', '說', '以前', '也', '是', '康熙', '粉', '就', '來看', '一下下', '一', 'part', '覺得', '怪部分', '就', '說', '了', '謠言止', '於', '智者', '還要', '繼續', '補', '後面', '都', '給台', '階下', '了', '我', '是', '不', '認識', '她', '珍妮', '啦', '想', '問問', '她', '評價', '是', '如何', '還是', '是', '節目', '效果', '只是', '我誤']"
1,239742232,不是綠好才選的，是藍太共而害怕,在2016年的時候害怕跟一樣共，空口套白狼、被造就22K局面、深感憤怒，這頭又堅持簽ECFA…你看看至此之後、某部分人錢賺到了、但整個🇹🇼受制於，不聽話就直接禁禁禁、擺爛不給進口，讓找到一個理由牽制🇹🇼、,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 05:29:04.727000+00:00,0,0,[],閒聊,,[],不是綠好才選是藍太共而害怕在2016年時候害怕跟一樣共空口套白狼被造就22K局面深感憤怒這頭又堅持簽ECFA你看看至此之後某部分人錢賺到了但整個🇹🇼受制於不聽話就直接禁禁禁擺爛不給進口讓找到一個理由牽制🇹🇼,"['不是', '綠好', '才', '選是', '藍太共而', '害怕', '在', '2016', '年時', '候', '害怕', '跟', '一樣', '共空口', '套白', '狼', '被', '造', '就', '22K', '局面', '深感', '憤怒', '這頭', '又', '堅持', '簽', 'ECFA', '你', '看', '看', '至', '此', '之後', '某部', '分人', '錢', '賺到', '了', '但', '整個', '🇹', '🇼', '受制於', '不聽話', '就', '直接', '禁禁禁', '擺爛', '不給', '進口', '讓', '找', '到', '一個', '理由', '牽制', '🇹', '🇼']"
2,239742195,關於昨天的網美吃瓜文怎麼刪了？,如題 昨天還在吃瓜的說 怎麼今天就刪了？？？有人能講一下後來發生了什麼嗎？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 05:23:33.049000+00:00,0,0,[],閒聊,,[],關於昨天網美吃瓜文怎麼刪了如題昨天還在吃瓜說怎麼今天就刪了有人能講一下後來發生了什麼嗎,"['關於', '昨', '天網', '美吃', '瓜文', '怎麼', '刪', '了', '如題', '昨天', '還在', '吃', '瓜', '說', '怎麼', '今天', '就', '刪', '了', '有', '人', '能講', '一下', '後來', '發生', '了', '什麼', '嗎']"
3,239742126,請問大家會怎麼看待把自己名字寫錯的人？,請問大家會怎麼看待把自己名字寫錯的人？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 05:12:20.608000+00:00,1,0,"['請問', '名字']",閒聊,,[],請問大家會怎麼看待把自己名字寫錯人請問大家會怎麼看待把自己名字寫錯人,"['請問', '大家', '會', '怎麼', '看待', '把', '自己', '名字', '寫錯', '人請問', '大家', '會', '怎麼', '看待', '把', '自己', '名字', '寫錯', '人']"
4,239742001,我好討厭清潔浴室廁所哦 有沒有什麼懶人方式,我目前馬桶買那種日本產品清理，但是其他部分要怎麼清，比方說有黴菌的地方,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 04:57:17.337000+00:00,1,0,"['清潔', '討厭', '浴室', '廁所']",閒聊,,[],我好討厭清潔浴室廁所哦有沒有什麼懶人方式我目前馬桶買那種日本產品清理但是其他部分要怎麼清比方說有黴菌地方,"['我', '好', '討厭', '清潔', '浴室', '廁所', '哦', '有', '沒有', '什麼', '懶人', '方式', '我', '目前', '馬', '桶', '買', '那種', '日', '本產品', '清理', '但是', '其他', '部分', '要', '怎麼', '清比方', '說', '有黴菌', '地方']"
5,239741956,外交部向Bump道謝了,風向跟白海豚轉彎一樣快,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 04:51:56.593000+00:00,3,1,"['外交部', 'bump', '時事', '工作']",閒聊,,[],外交部向Bump道謝了風向跟白海豚轉彎一樣快,"['外交部', '向', 'Bump', '道謝', '了', '風向', '跟', '白海豚', '轉彎', '一樣', '快']"
6,239741942,想問台中比較大間有名的銀樓,想買黃金，怕被騙，希望知道的大大們可以share 一下，感恩,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 04:51:15.277000+00:00,1,0,"['台中', '銀樓', '黃金', '閒聊']",閒聊,,[],想問台中比較大間有名銀樓想買黃金怕被騙希望知道大大們可以share一下感恩,"['想', '問台', '中比', '較', '大間', '有名', '銀樓', '想買', '黃', '金怕', '被', '騙', '希望', '知道', '大大', '們', '可以', 'share', '一下', '感恩']"
7,239741935,有政府？,急著做什麼？先批評再來給糖？應該沒有誤會什麼吧？有政府？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 04:50:58.415000+00:00,1,1,[],閒聊,,[],有政府急著做什麼先批評再來給糖應該沒有誤會什麼吧有政府,"['有政府', '急', '著', '做', '什麼', '先', '批評', '再來', '給糖', '應該', '沒有', '誤會', '什麼', '吧', '有', '政府']"
8,239741898,IG被提及的貼文隱藏後恢復,ㄟㄟ各位好，小弟弟我呢 早上在研究IG的所有功能 不小心把被提及的文章全部隱藏了QQ，這邊的各位大大有人知道怎麼辦嗎,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 04:46:55.224000+00:00,0,0,"['ig', '貼文', '朋友']",閒聊,,[],IG被提及貼文隱藏後恢復ㄟㄟ各位好小弟弟我呢早上在研究IG所有功能不小心把被提及文章全部隱藏了QQ這邊各位大大有人知道怎麼辦嗎,"['IG', '被', '提及', '貼', '文隱藏', '後', '恢復', 'ㄟ', 'ㄟ', '各位', '好', '小弟弟', '我', '呢', '早', '上', '在', '研究', 'IG', '所有', '功能', '不', '小心', '把', '被', '提及', '文章', '全部', '隱藏', '了', 'QQ', '這邊', '各位', '大大', '有人', '知道', '怎麼辦', '嗎']"
9,239741897,「反政府的鄉民在想什麼？」名醫挺外交部：找網紅是病急亂投醫,「覺得柬埔寨詐騙營救這一連串操作，有種『民俗療法』的既視感？」是醫師也是台北市議員參選人的吳欣岱發文表示，外交部這一年從柬埔寨救回50幾個人，結果網紅救回一個人，就出現很多帳號「同時宣稱外交部都沒在做,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-19 04:46:50.880000+00:00,3,1,['外交部'],閒聊,,"[{'url': 'https://imgur.com/EvX4vdu.jpg'}, {'url': 'https://imgur.com/BVpMSvP.jpg'}]",反政府鄉民在想什麼名醫挺外交部找網紅是病急亂投醫覺得柬埔寨詐騙營救這一連串操作有種民俗療法既視感是醫師也是台北市議員參選人吳欣岱發文表示外交部這一年從柬埔寨救回50幾個人結果網紅救回一個人就出現很多帳號同時宣稱外交部都沒在做,"['反政府', '鄉民', '在', '想', '什麼', '名醫', '挺', '外交部', '找', '網紅', '是', '病', '急亂', '投醫', '覺得', '柬埔寨', '詐騙', '營救', '這', '一連串', '操作', '有', '種民俗', '療法', '既視', '感是', '醫師', '也', '是', '台北', '市議員', '參選人', '吳欣', '岱', '發文表示', '外交部', '這', '一年', '從', '柬埔寨', '救回', '50', '幾個', '人', '結果', '網紅救', '回', '一個人', '就', '出現', '很多', '帳號', '同時', '宣稱', '外交部', '都', '沒', '在', '做']"
