,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239697781,說笑專家于北辰,影片時間 4：10，于北辰：「天弓飛彈的射程高度無限高一定攔截的到.....」2021/3/31，中央社，編輯：蘇志宗，蘇紫雲分析，天弓三型飛彈又稱「台版薩德」，主要攔截目標為飛機，最大攔截高度可望由,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 03:18:57.465000+00:00,12,8,"['笑話', '專家', '天弓飛彈', '于北辰', '機率']",閒聊,,[{'url': 'https://imgur.com/ZjNS9Iu.jpg'}],說笑專家于北辰影片410于北辰天弓飛彈射程高度無限高一定攔截到2021331中央社編輯蘇志宗蘇紫雲分析天弓三型飛彈又稱台版薩德主要攔截目標為飛機最大攔截高度可望由,"['說', '笑', '專家', '于', '北辰', '影片', '410', '于', '北辰', '天弓', '飛彈', '射程', '高度', '無限高', '一定', '攔截', '到', '2021331', '中央社', '編輯', '蘇志宗蘇', '紫', '雲', '分析', '天弓', '三型', '飛彈', '又稱', '台版薩德', '主要', '攔截', '目標', '為', '飛機', '最大攔', '截高度', '可望', '由']"
1,239697769,說他好姐妹禮拜一要去柬埔寨的那篇文怎麼不見了,昨天晚上那篇說要大家勸他好姐妹不要去柬埔寨的文怎麼不見了，剛剛要看留言發現已經刪掉了🥲,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 03:16:45.785000+00:00,14,20,"['姐妹', '柬埔寨', '詐騙']",閒聊,,[{'url': 'https://imgur.com/7wjm5ze.jpg'}],說他好姐妹禮拜一要去柬埔寨那篇文怎麼不見了昨天晚上那篇說要大家勸他好姐妹不要去柬埔寨文怎麼不見了剛剛要看留言發現已經刪掉了🥲,"['說', '他', '好', '姐妹', '禮拜', '一要', '去', '柬埔寨', '那篇文', '怎麼', '不見', '了', '昨天', '晚上', '那篇', '說', '要', '大家', '勸', '他', '好', '姐妹', '不要', '去', '柬埔寨文', '怎麼', '不見', '了剛', '剛要', '看留言', '發現', '已經', '刪掉', '了', '\U0001f972']"
2,239697755,還有種可能,有沒有考慮過濕疹？濕疹的表象有很多，皮膚癢是其一，再來就是像汗皰疹一樣有小水泡，再重一點會像尋麻疹有不規則隆起，奇癢無比，如果妳排便不成條，很有可能是這個問題。我自己是看過半年中醫，當某次的藥我覺得對,255fd275-fec2-49d2-8e46-2e1557ffaeb0,239696164.0,2022-08-14 03:13:48.580000+00:00,1,2,['皮膚癢'],閒聊,（已看過醫生）外陰癢到不行,[],還有種可能有沒有考慮過濕疹濕疹表象有很多皮膚癢是其一再來就是像汗皰疹一樣有小水泡再重一點會像尋麻疹有不規則隆起奇癢無比如果妳排便不成條很有可能是這個問題我自己是看過半年中醫當某次藥我覺得對,"['還有種', '可能', '有', '沒有', '考慮', '過濕疹', '濕疹', '表象', '有', '很多', '皮膚', '癢', '是', '其一', '再來', '就是', '像', '汗', '皰疹', '一樣', '有', '小水', '泡', '再', '重', '一點', '會', '像', '尋麻疹', '有', '不規則', '隆起', '奇癢', '無比', '如果', '妳', '排', '便', '不成', '條很有', '可能', '是', '這個', '問題', '我', '自己', '是', '看過', '半年', '中醫', '當某', '次藥', '我', '覺得', '對']"
3,239697749,原來我是少數😳,投票是問會不會掛睡，現在結果竟然是接近7：3，是現代的大家都太忙了嘛,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 03:11:09.261000+00:00,1,0,"['感情', '時事', '有趣', '交往', '閒聊']",閒聊,,[{'url': 'https://imgur.com/PPM8qyf.jpg'}],原來我是少數😳投票是問會不會掛睡現在結果竟然是接近73是現代大家都太忙了嘛,"['原來', '我', '是', '少數', '😳', '投票', '是問', '會不會', '掛睡', '現在', '結果', '竟然', '是', '接近', '73', '是', '現代', '大家', '都', '太忙', '了', '嘛']"
4,239697716,男生對手毛長女生的看法？,好奇男生對手毛長女生的看法是什麼，雖然大家會說活得開心就好、自己喜歡就好，但還是好奇男生真的會不喜歡手毛長女生嗎，之前因為喜歡的男生一句，為什麼你手毛這麼長不刮？就很白癡的刮掉了 結果後來長更多…，那,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 03:05:25.927000+00:00,7,0,"['手毛', '女生', '男生', '閒聊']",閒聊,,[],男生對手毛長女生看法好奇男生對手毛長女生看法是什麼雖然大家會說活得開心就好自己喜歡就好但還是好奇男生真會不喜歡手毛長女生嗎之前因為喜歡男生一句為什麼你手毛這麼長不刮就很白癡刮掉了結果後來長更多那,"['男生', '對手', '毛長', '女生', '看法', '好奇', '男生', '對手', '毛長', '女生', '看法', '是', '什麼', '雖然', '大家', '會', '說', '活得', '開心', '就', '好', '自己', '喜歡', '就', '好', '但', '還是', '好奇', '男生', '真會', '不', '喜歡', '手毛長', '女生', '嗎', '之前', '因為', '喜歡', '男生', '一句', '為什麼', '你', '手毛', '這麼', '長', '不', '刮', '就', '很', '白', '癡', '刮掉', '了結', '果', '後來', '長', '更', '多', '那']"
5,239697704,我的同學不曉得到哪裡去了,先從我們的高中班群講起，畢業之後因為同學間感情不錯所以班群都沒有退有時候要找人、約人都從班群比較方便，然後前幾天，我們的班導就在班群上問有沒有人知道A（失蹤的）去哪裡，有沒有約出去玩啥的，班上沒有人知,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 03:00:35.257000+00:00,2,2,['同學'],閒聊,,[],我同學不曉得到哪裡去了先從我們高中班群講起畢業之後因為同學間感情不錯所以班群都沒有退有時候要找人約人都從班群比較方便然後前幾天我們班導就在班群上問有沒有人知道A失蹤去哪裡有沒有約出去玩啥班上沒有人知,"['我', '同學', '不曉', '得到', '哪裡', '去', '了', '先', '從', '我們', '高', '中班', '群講', '起', '畢業', '之後', '因為', '同學', '間', '感情', '不錯', '所以', '班群', '都', '沒有', '退有', '時候', '要', '找', '人', '約', '人', '都', '從班群', '比', '較方', '便', '然後', '前', '幾天', '我們', '班導', '就', '在', '班', '群上', '問有', '沒有', '人', '知道', 'A', '失蹤', '去', '哪裡', '有', '沒有', '約', '出去玩', '啥', '班', '上', '沒有', '人知']"
6,239697616,1.5個博士學位和台大學倫會,#轉，台大學倫會是超然獨立的，不容質疑。但是倫敦政經學院就是被蔡英文跟民進黨收買的，才會出來證明蔡英文的學位沒問題。這個雙標我很喜歡,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 02:39:55.398000+00:00,1,1,"['大學', '時事', '有趣', '閒聊', '林智堅']",閒聊,,[],15個博士學位和台大學倫會轉台大學倫會是超然獨立不容質疑但是倫敦政經學院就是被蔡英文跟民進黨收買才會出來證明蔡英文學位沒問題這個雙標我很喜歡,"['15', '個', '博士學位', '和', '台', '大學', '倫會', '轉台', '大學', '倫會', '是', '超然', '獨立', '不容', '質疑', '但是', '倫敦', '政經', '學院', '就是', '被', '蔡英文', '跟民', '進黨', '收買', '才', '會', '出來', '證明', '蔡英文', '學位', '沒', '問題', '這個', '雙標', '我', '很', '喜歡']"
7,239697609,到底在穩什麼,現在一大堆穩來穩去的到底什麼東西，然後底下一堆跟著附和問了也不講，有人是真的知道這什麼梗還是都裝的,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 02:39:00.050000+00:00,9,0,"['時事', '有趣', '閒聊']",閒聊,,[],到底在穩什麼現在一大堆穩來穩去到底什麼東西然後底下一堆跟著附和問了也不講有人是真知道這什麼梗還是都裝,"['到底', '在', '穩', '什麼', '現在', '一大堆', '穩來', '穩去', '到底', '什麼', '東西', '然後', '底下', '一堆', '跟', '著', '附和問', '了', '也', '不', '講有', '人', '是', '真', '知道', '這', '什麼', '梗', '還是', '都裝']"
8,239697523,女友突然變禿頭,女友是升大二19歲，他課表超忙，但她也還是會吧不用上課的時間去排班，把自己的所有時間用滿的概念，不然她會覺得自己很廢，她己經連續這樣好幾年了～最近發現她頭髮好像多了一條分隔線～不是很幼的哪種，有點像摩,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 02:21:23.021000+00:00,226,1406,"['禿頭', '女友']",閒聊,,"[{'url': 'https://imgur.com/SxbWXin.jpg'}, {'url': 'https://imgur.com/ay4tTxJ.jpg'}]",女友突然變禿頭女友是升大二19歲他課表超忙但她也還是會吧不用上課去排班把自己所有用滿概念不然她會覺得自己很廢她己經連續這樣好幾年了最近發現她頭髮好像多了一條分隔線不是很幼哪種有點像摩,"['女友', '突然', '變禿頭', '女友', '是', '升大二', '19', '歲', '他', '課表超', '忙', '但', '她', '也', '還是', '會', '吧', '不用', '上課', '去', '排班', '把', '自己', '所有', '用滿', '概念', '不然', '她', '會', '覺得', '自己', '很', '廢', '她己', '經連續', '這樣', '好幾年', '了', '最近', '發現', '她頭', '髮', '好像', '多', '了', '一條', '分隔線', '不是', '很幼', '哪種', '有點', '像', '摩']"
9,239697517,若你也對柬埔寨問題感到憤怒，請和我一起寄信,結至今日已有愈五千名台灣人在柬埔寨遭受奴役等非人類待遇，且其政府選擇漠視不作為，又或是他們是一夥的，不論是那種，我們台灣人都已遭受針對性迫害。若我們今天連周遭台灣人的悲慘待遇都選擇漠視，那有一天輪到你,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 02:20:17.093000+00:00,29,13,"['柬埔寨', '問題', '反人類罪', '台灣人團結起來']",閒聊,,[{'url': 'https://imgur.com/csUaLtB.jpg'}],若你也對柬埔寨問題感到憤怒請和我一起寄信結至今日已有愈五千名台灣人在柬埔寨遭受奴役等非人類待遇且其政府選擇漠視不作為又或是他們是一夥不論是那種我們台灣人都已遭受針對性迫害若我們今天連周遭台灣人悲慘待遇都選擇漠視那有一天輪到你,"['若', '你', '也', '對', '柬埔寨', '問題', '感到', '憤怒', '請', '和', '我', '一起', '寄信', '結至', '今日', '已有', '愈', '五千名', '台灣', '人', '在', '柬埔寨', '遭受', '奴役', '等', '非', '人類', '待遇', '且', '其政府', '選擇', '漠視', '不作', '為', '又', '或是', '他們', '是', '一夥', '不論是', '那種', '我們', '台灣', '人', '都', '已', '遭', '受針', '對性', '迫害', '若', '我們', '今天', '連', '周遭', '台灣', '人', '悲慘', '待遇', '都', '選擇', '漠視', '那', '有', '一', '天輪', '到', '你']"
