,發文ID,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
39,136e7a99-3d4f-4092-b466-6ef9dca08d07,240324940,2022-10-24 07:35:05.089000+00:00,2022-10-24T07:35:05.089Z,B4蚵爹我沒有研究🤣蚵仔包可以嗎🤣再在草屯民賢街上有一個攤販老闆每天從嘉義東石上來賣蚵仔包我覺得還不錯料很足每天現包現炸很快就賣完那種icomW8834sE地點大概在民賢街這家店外面一個小攤販而已整條路上看到有很多人在排隊那攤就對了🥲,0.0,"['B4', '蚵', '爹', '我', '沒有', '研究', '🤣', '蚵', '仔包', '可以', '嗎', '🤣', '再', '在', '草', '屯民賢街', '上有', '一個', '攤販', '老', '闆', '每天', '從', '嘉義', '東石', '上來', '賣', '蚵', '仔包', '我', '覺得', '還', '不錯', '料', '很', '足', '每', '天現', '包現', '炸', '很快', '就', '賣', '完', '那種', 'icomW8834sE', '地點', '大概', '在', '民賢街', '這家店', '外面', '一個', '小攤販', '而', '已', '整條', '路上', '看到', '有', '很多', '人', '在', '排隊', '那攤', '就', '對', '了', '\U0001f972']"
40,ad7ed1e4-ffee-4962-9330-de5a9cdd96d7,240324910,2022-10-23 19:01:37.583000+00:00,2022-10-23T19:01:37.583Z,推妳板前一徹一人套餐2500左右兩人五千多再單點想吃肉很讚👍🏼坐吧台有專人烤,13.0,"['推', '妳', '板', '前', '一徹', '一人', '套餐', '2500', '左右兩', '人', '五千多', '再', '單點', '想', '吃', '肉', '很', '讚', '👍', '🏼', '坐', '吧台', '有', '專人', '烤']"
41,0c7f00e4-8853-429d-85ef-f7ed2fc429cf,240324910,2022-10-23 19:07:24.932000+00:00,2022-10-23T19:07:24.932Z,怎麼可以沒有墨妃家,1.0,"['怎麼', '可以', '沒有', '墨妃', '家']"
43,522e6dd4-3d65-4196-8b44-635c13c999ec,240324910,2022-10-23 20:14:15.977000+00:00,2022-10-23T20:14:15.977Z,好奇肉次方如何上次訂位幾乎每天都滿,1.0,"['好奇', '肉次方', '如何', '上次', '訂位', '幾乎', '每', '天都', '滿']"
44,57e9108f-a743-4311-83ab-64775b5e89e7,240324910,2022-10-23 22:55:11.080000+00:00,2022-10-23T23:06:53.732Z,看到版主推老井就知道是懂吃不是業配文這篇就有參考價值了感謝,22.0,"['看到', '版', '主推', '老井', '就', '知道', '是', '懂', '吃', '不是', '業配', '文', '這篇', '就', '有', '參考價值', '了', '感謝']"
45,64afc9c2-f72a-4ebc-8458-5e65bfcaf553,240324910,2022-10-23 22:56:36.685000+00:00,2022-10-23T22:56:36.685Z,締藏好吃但吃得很開心荷包也很痛三年前四人吃完要一萬初🥲,1.0,"['締藏', '好吃', '但', '吃', '得', '很', '開心', '荷包', '也', '很', '痛', '三年', '前四人', '吃', '完要', '一萬', '初', '\U0001f972']"
46,19472696-d738-46fb-a70f-cb0b7b38cd9e,240324910,2022-10-23 23:33:21.551000+00:00,2022-10-23T23:33:21.551Z,締藏醴本樂軒,0.0,"['締藏', '醴本樂軒']"
47,052915ab-94eb-4eba-9ad5-fff60e670958,240324910,2022-10-24 00:44:18.644000+00:00,2022-10-24T00:44:18.644Z,通報📢好像有人對這篇文章有新想法唷快來去看看wwwdcardtwffoodp240325520,0.0,"['通報', '📢', '好像', '有', '人', '對', '這篇', '文章', '有', '新', '想法', '唷', '快來', '去', '看', '看', 'wwwdcardtwffoodp240325520']"
48,774b8c6e-cb35-4057-9385-c718836e2555,240324910,2022-10-24 00:51:03.860000+00:00,2022-10-24T00:51:03.860Z,雲火有再開了喔,1.0,"['雲火', '有', '再', '開', '了', '喔']"
50,14bc27de-4767-444e-914a-7f98273b5127,240324910,2022-10-24 01:04:35.358000+00:00,2022-10-24T01:08:28.813Z,請問佐賀野仁如何呢朋友狂推我去吃只說爆好吃😂但看價位最低就4千樣子不曉得有沒有人吃過可以實際分享呢,0.0,"['請問', '佐賀', '野仁', '如何', '呢', '朋友', '狂', '推', '我', '去', '吃', '只', '說', '爆', '好吃', '😂', '但', '看', '價位', '最低', '就', '4', '千樣', '子', '不曉', '得有', '沒有', '人吃過', '可以', '實際', '分享', '呢']"
51,bbe4b2de-fdc4-49e9-8e95-21d6a41669f8,240324910,2022-10-24 02:18:43.018000+00:00,2022-10-24T02:18:43.018Z,覺得燒肉中山牛舌有驚艷到嘴巴裡會回彈有點猛但是我還是比較喜歡茶六好好吃那個鮭魚味噌湯很不錯而且甜點好可愛😆,1.0,"['覺得', '燒肉', '中山', '牛舌有', '驚艷到', '嘴巴', '裡會', '回彈', '有點', '猛', '但是', '我', '還是', '比', '較', '喜歡', '茶六好', '好吃', '那個', '鮭', '魚味', '噌', '湯', '很', '不錯', '而且', '甜點', '好', '可愛', '😆']"
52,632e4318-d607-41b9-be99-54a42c3fee8b,240324910,2022-10-24 02:35:36.089000+00:00,2022-10-24T02:35:36.089Z,一生推俺達🥹🥹🥹回不去好味道🤤🤤🤤,0.0,"['一生', '推', '俺', '達', '\U0001f979', '\U0001f979', '\U0001f979', '回不去', '好', '味道', '🤤', '🤤', '🤤']"
53,91eb704e-9a34-4b4e-8aee-17112d9161ba,240324910,2022-10-24 02:48:59.442000+00:00,2022-10-24T02:48:59.442Z,CP值最高是老井,3.0,"['CP', '值', '最高', '是', '老井']"
54,b7127e47-2c79-4ee8-9608-623805af4a63,240324910,2022-10-24 03:02:53.142000+00:00,2022-10-24T03:02:53.142Z,赤坂室日式燒肉,0.0,"['赤坂室', '日式', '燒肉']"
55,e6ffdc67-3795-4267-b406-18802db3fce3,240324910,2022-10-24 03:21:39.360000+00:00,2022-10-24T03:21:39.360Z,牛角也還不錯阿,0.0,"['牛角', '也還', '不錯', '阿']"
56,7cfcf0be-6bdc-4975-adf9-a38045e896c5,240324910,2022-10-24 03:47:51.336000+00:00,2022-10-24T03:47:51.336Z,可以試試看川原痴有人代烤價位不會到很貴很貴之前去吃蠻喜歡🤤板上比較少人推這間樣子,0.0,"['可以', '試試', '看', '川原', '痴有', '人代烤', '價位', '不會', '到', '很貴', '很貴', '之前', '去', '吃', '蠻', '喜歡', '🤤', '板上', '比較', '少人', '推', '這間', '樣子']"
57,21837343-3ce2-4b57-998d-01d8cbefa2b2,240324910,2022-10-24 03:53:12.960000+00:00,2022-10-24T03:53:12.960Z,長月,0.0,"['長', '月']"
58,64344809-2b67-4b8f-bf94-fb0ee262f414,240324910,2022-10-24 04:09:53.547000+00:00,2022-10-24T04:09:53.547Z,屋馬真很普通,0.0,"['屋馬真', '很', '普通']"
