,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239713278,你到底愛的是？,有個同事總是會跟我分享她男友的一切。常常覺得男友不可思議的奇怪🤔，又覺得交往過的就這個男友對她最好。基於同事立場，我常常就是聽聽就好，但又覺得心疼這女孩的感情路坎坷。不是遇到會動手打她的就是不把她放心,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 20:18:51.316000+00:00,0,0,"['感情', '男友', '工作', '女生', '閒聊']",閒聊,,[],你到底愛是有個同事總是會跟我分享她男友一切常常覺得男友不可思議奇怪🤔又覺得交往過就這個男友對她最好基於同事立場我常常就是聽聽就好但又覺得心疼這女孩感情路坎坷不是遇到會動手打她就是不把她放心,"['你', '到底', '愛是', '有個', '同事', '總是', '會', '跟', '我', '分享', '她', '男友', '一切', '常常', '覺得', '男友', '不可思議', '奇怪', '🤔', '又', '覺得', '交往', '過就', '這個', '男友', '對', '她', '最', '好', '基於', '同事', '立場', '我', '常常', '就是', '聽', '聽', '就', '好', '但', '又', '覺得', '心疼', '這', '女孩', '感情', '路', '坎坷', '不是', '遇到', '會', '動手', '打', '她', '就是', '不', '把', '她', '放心']"
1,239713250,關於詐騙的電影,這個詐騙電影我原本以為已經夠噁心了，沒想到這次的新聞讓我了解到還有更噁心的詐騙環境手法，大家真的要小心耶！有關於錢和帳戶都別輕易給別人，嗯 對 還有護照之類的身分證明文件,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 20:04:58.206000+00:00,0,1,"['詐騙', '電影', '時事']",閒聊,,[],關於詐騙電影這個詐騙電影我原本以為已經夠噁心了沒想到這次新聞讓我了解到還有更噁心詐騙環境手法大家真要小心耶有關於錢和帳戶都別輕易給別人嗯對還有護照之類身分證明文件,"['關於', '詐騙', '電影', '這個', '詐騙', '電影', '我', '原本', '以為', '已經', '夠', '噁心', '了', '沒', '想到', '這次', '新聞', '讓我', '了解', '到', '還有', '更', '噁心', '詐騙', '環境', '手法', '大家', '真要', '小心', '耶有', '關於', '錢', '和', '帳戶', '都', '別', '輕易給', '別人', '嗯', '對', '還有', '護照', '之類', '身分', '證明', '文件']"
2,239713203,台南 改褲子 腰圍,爬了很多台南地區的文，大部分都是在問哪裡可以改褲子，這邊想問一下 我想改腰圍，去過三間 一件分別是200、150、100，但我覺得頗貴。。。有沒有大大知道台南哪間店改腰圍比較便宜的呢？我都買最小號了但,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 19:43:00.060000+00:00,4,0,"['腰圍', '褲子', '工作']",閒聊,,[],台南改褲子腰圍爬了很多台南地區文大部分都是在問哪裡可以改褲子這邊想問一下我想改腰圍去過三間一件分別是200150100但我覺得頗貴有沒有大大知道台南哪間店改腰圍比較便宜呢我都買最小號了但,"['台南', '改褲子', '腰圍', '爬', '了', '很多', '台南', '地區', '文', '大部分', '都是', '在問', '哪裡', '可以', '改褲子', '這邊', '想問', '一下', '我想', '改腰圍', '去過', '三間', '一件', '分別', '是', '200150100', '但', '我', '覺得', '頗', '貴有', '沒有', '大大', '知道', '台南', '哪間', '店', '改腰圍', '比', '較', '便宜', '呢', '我', '都', '買', '最', '小號', '了', '但']"
3,239713187,兩岸統一後會發生什麼事情,小弟我是在中國出身，而且家人一半是中國人，對於那邊高層的民情還勉強算是了解，所以我也提出我的看法，我不支持兩岸統一的理由如下：1.戰爭階段，從俄羅斯侵烏克蘭我們可以知道，不論當初有多強調只會攻擊軍用設,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 19:37:00.708000+00:00,11,12,"['統一', '兩岸', '中國', '大陸', '戰爭']",閒聊,,[],兩岸統一後會發生什麼事情小弟我是在中國出身而且家人一半是中國人對於那邊高層民情還勉強算是了解所以我也提出我看法我不支持兩岸統一理由如下1戰爭階段從俄羅斯侵烏克蘭我們可以知道不論當初有多強調只會攻擊軍用設,"['兩岸', '統一', '後會', '發生', '什麼', '事情', '小弟', '我', '是', '在', '中國', '出身', '而且', '家人', '一半', '是', '中國', '人', '對於', '那邊', '高層民', '情還', '勉強', '算', '是', '了解', '所以', '我', '也', '提出', '我', '看法', '我', '不支', '持', '兩岸', '統一理', '由', '如下', '1', '戰爭', '階段', '從', '俄羅斯', '侵烏', '克蘭', '我們', '可以', '知道', '不論', '當初', '有', '多', '強調', '只會', '攻擊', '軍用', '設']"
4,239713148,朋友哪裡撿,小弟我剛滿20歲，沒讀大學，目前在上班一個月31000，我一直在思考一件事情，就是我現實好像沒什麼朋友ㄝ。我求學路途較為坎坷，我國小很正常，但國中跑去混外面常常沒去學校，最後國中肄業，國三最後一年心態,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 19:23:38.467000+00:00,29,27,"['朋友', '閒聊', '生活']",閒聊,,[],朋友哪裡撿小弟我剛滿20歲沒讀大學目前在上班一個月31000我一直在思考一件事情就是我現實好像沒什麼朋友ㄝ我求學路途較為坎坷我國小很正常但國中跑去混外面常常沒去學校最後國中肄業國三最後一年心態,"['朋友', '哪裡', '撿', '小弟', '我', '剛滿', '20', '歲', '沒讀', '大學', '目前', '在', '上班', '一個月', '31000', '我', '一直', '在', '思考', '一件', '事情', '就是', '我', '現實', '好像', '沒', '什麼', '朋友', 'ㄝ', '我求', '學路途', '較', '為', '坎坷', '我國', '小', '很', '正常', '但國', '中', '跑', '去', '混', '外面', '常常', '沒去', '學校', '最後國', '中', '肄業國', '三', '最', '後', '一年', '心態']"
5,239713109,"越看越覺得 怎麼沒有人拿時鐘跟國魚比
比較一下",常常看到大家批評國魚的言論，再來看看時鐘的所作所為，怎麼時鐘被捧的跟神一樣，國魚被罵的比垃圾還不如，其實國魚被怎麼批評 也就罷了，可是這雙標會不會太嚴重？有大神可以來比較分析一下嗎？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 19:07:20.648000+00:00,2,0,"['時鐘', '閒聊', '台灣']",閒聊,,[],越看越覺得怎麼沒有人拿時鐘跟國魚比比較一下常常看到大家批評國魚言論再來看看時鐘所作所為怎麼時鐘被捧跟神一樣國魚被罵比垃圾還不如其實國魚被怎麼批評也就罷了可是這雙標會不會太嚴重有大神可以來比較分析一下嗎,"['越', '看', '越', '覺得', '怎麼', '沒有', '人', '拿', '時鐘', '跟', '國魚', '比', '比', '較', '一下', '常', '常看到', '大家', '批', '評國', '魚言論', '再', '來看', '看時', '鐘所作', '所', '為', '怎麼', '時鐘', '被', '捧', '跟', '神', '一樣', '國魚', '被', '罵', '比', '垃圾', '還', '不如', '其實', '國魚', '被', '怎麼', '批評', '也', '就', '罷了', '可是', '這雙標', '會不會', '太', '嚴重', '有', '大神', '可', '以來', '比較', '分析', '一下', '嗎']"
6,239713038,希望有人解答我的疑惑,假設今天在沙漠中已經出現缺水的情況，女生受到刺激私密處還會流出愛液嗎？突然異想天開想到這個問題上網找不到答案，跪求解答,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 18:47:40.497000+00:00,3,0,['疑惑'],閒聊,,[],希望有人解答我疑惑假設今天在沙漠中已經出現缺水情況女生受到刺激私密處還會流出愛液嗎突然異想天開想到這個問題上網找不到答案跪求解答,"['希望', '有人', '解答', '我', '疑惑', '假設', '今天', '在', '沙漠', '中', '已經', '出現', '缺水', '情況', '女生', '受到', '刺激', '私密處', '還會', '流出', '愛液', '嗎', '突然', '異想', '天開', '想到', '這個', '問題', '上網', '找', '不到', '答案', '跪求', '解答']"
7,239713021,柬浦寨皮皮忘恩負義黑救援團隊白眼狼,討拍裝可憐 揭發被賣柬埔寨女 內幕（持續更新，第一篇連結，確實被強姦販賣很可憐，但是一直造謠抹黑重傷曾經幫助你的人，為了自己等人設跟想紅 一直公開在柬埔寨救援的個資讓他們飽受危險 我覺得你超不道德的，,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 18:42:59.033000+00:00,192,773,"['救援', '團隊', '白眼', '柬埔寨', '強姦']",閒聊,,"[{'url': 'https://imgur.com/rHu0ErV.jpg'}, {'url': 'https://imgur.com/ZZ7e5yA.jpg'}, {'url': 'https://imgur.com/KtZOSYP.jpg'}, {'url': 'https://imgur.com/KtZOSYP.jpg'}, {'url': 'https://vivid.dcard.tw/Public/3242168f-bded-4176-a38e-7a4927e3a91d/thumbnail.jpg'}, {'url': 'https://imgur.com/ZZ7e5yA.jpg'}, {'url': 'https://imgur.com/rHu0ErV.jpg'}, {'url': 'https://imgur.com/pYBdyqN.jpg'}, {'url': 'https://imgur.com/pYBdyqN.jpg'}, {'url': 'https://vivid.dcard.tw/Public/3242168f-bded-4176-a38e-7a4927e3a91d/thumbnail.jpg'}, {'url': 'https://imgur.com/AeCrekC.jpg'}, {'url': 'https://imgur.com/7FDZpMV.jpg'}, {'url': 'https://imgur.com/Znr5Jjz.jpg'}, {'url': 'https://imgur.com/7FDZpMV.jpg'}, {'url': 'https://imgur.com/F5c40PN.jpg'}, {'url': 'https://imgur.com/LmDYcQB.jpg'}, {'url': 'https://imgur.com/LmDYcQB.jpg'}, {'url': 'https://imgur.com/AeCrekC.jpg'}, {'url': 'https://imgur.com/Znr5Jjz.jpg'}, {'url': 'https://imgur.com/fP00Cxh.jpg'}, {'url': 'https://imgur.com/fP00Cxh.jpg'}, {'url': 'https://imgur.com/e7UEsfX.jpg'}, {'url': 'https://imgur.com/Gs52Dx4.jpg'}, {'url': 'https://imgur.com/nUDI0cX.jpg'}, {'url': 'https://imgur.com/nUDI0cX.jpg'}, {'url': 'https://imgur.com/F5c40PN.jpg'}, {'url': 'https://imgur.com/VfB3IA2.jpg'}, {'url': 'https://imgur.com/YRIWxA2.jpg'}, {'url': 'https://imgur.com/VfB3IA2.jpg'}, {'url': 'https://imgur.com/e7UEsfX.jpg'}, {'url': 'https://imgur.com/Gs52Dx4.jpg'}, {'url': 'https://imgur.com/tmjLec6.jpg'}, {'url': 'https://imgur.com/tamtduY.jpg'}, {'url': 'https://vivid.dcard.tw/Public/80368f6a-7a0c-47eb-aefc-535367906dd1/thumbnail.jpg'}, {'url': 'https://imgur.com/YRIWxA2.jpg'}, {'url': 'https://imgur.com/ClNJlas.jpg'}, {'url': 'https://imgur.com/MQ090LA.jpg'}, {'url': 'https://imgur.com/ClNJlas.jpg'}, {'url': 'https://imgur.com/ll4YlOQ.jpg'}, {'url': 'https://imgur.com/ll4YlOQ.jpg'}, {'url': 'https://imgur.com/tmjLec6.jpg'}, {'url': 'https://imgur.com/0Jp8JMd.jpg'}, {'url': 'https://imgur.com/0Jp8JMd.jpg'}, {'url': 'https://vivid.dcard.tw/Public/1de493f6-dd8d-4144-a3dd-5165a4021236/thumbnail.jpg'}, {'url': 'https://imgur.com/AK0fGX8.jpg'}, {'url': 'https://imgur.com/tamtduY.jpg'}, {'url': 'https://vivid.dcard.tw/Public/2cd7f8e7-f38e-42df-a52d-5fe81d23c06a/thumbnail.jpg'}, {'url': 'https://imgur.com/UBCDYJG.jpg'}, {'url': 'https://imgur.com/sRWLg1E.jpg'}, {'url': 'https://imgur.com/qF0Ke3j.jpg'}, {'url': 'https://imgur.com/qF0Ke3j.jpg'}, {'url': 'https://imgur.com/MQ090LA.jpg'}, {'url': 'https://imgur.com/N7FHIVJ.jpg'}, {'url': 'https://imgur.com/N7FHIVJ.jpg'}, {'url': 'https://vivid.dcard.tw/Public/80368f6a-7a0c-47eb-aefc-535367906dd1/thumbnail.jpg'}, {'url': 'https://vivid.dcard.tw/Public/1de493f6-dd8d-4144-a3dd-5165a4021236/thumbnail.jpg'}, {'url': 'https://vivid.dcard.tw/Public/2cd7f8e7-f38e-42df-a52d-5fe81d23c06a/thumbnail.jpg'}, {'url': 'https://imgur.com/UBCDYJG.jpg'}, {'url': 'https://imgur.com/sRWLg1E.jpg'}, {'url': 'https://imgur.com/AK0fGX8.jpg'}, {'url': 'https://imgur.com/IdExzGr.jpg'}, {'url': 'https://imgur.com/IdExzGr.jpg'}]",柬浦寨皮皮忘恩負義黑救援團隊白眼狼討拍裝可憐揭發被賣柬埔寨女內幕持續更新第一篇連結確實被強姦販賣很可憐但是一直造謠抹黑重傷曾經幫助你人為了自己等人設跟想紅一直公開在柬埔寨救援個資讓他們飽受危險我覺得你超不道德,"['柬浦寨', '皮皮', '忘恩負義', '黑救援', '團隊', '白眼', '狼討', '拍裝', '可憐', '揭發', '被', '賣', '柬埔寨', '女', '內幕', '持續', '更', '新', '第', '一篇', '連結', '確實', '被', '強姦', '販賣', '很', '可憐', '但是', '一直', '造謠', '抹', '黑', '重傷', '曾經', '幫助', '你', '人', '為', '了', '自己', '等', '人設', '跟', '想紅', '一直', '公開', '在', '柬埔寨', '救援', '個資', '讓他', '們', '飽', '受', '危險', '我', '覺得', '你', '超', '不道德']"
8,239712876,我LINE的訊息越來越少女化,原本我跟別人傳LINE大概長這樣：「ok」「好」「對不起」「好啦」結果現在變這樣子：「歐給」「豪」「對不擠」「好辣」和「嗚嗚嗚」不知道是不是因為讀商科 然後女生多的關係，有時候跟他們聊天都會用這樣子講,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-15 18:03:21.418000+00:00,2,5,"['line', '訊息']",閒聊,,[],我LINE訊息越來越少女化原本我跟別人傳LINE大概長這樣ok好對不起好啦結果現在變這樣子歐給豪對不擠好辣和嗚嗚嗚不知道是不是因為讀商科然後女生多關係有時候跟他們聊天都會用這樣子講,"['我', 'LINE', '訊息', '越來', '越', '少女', '化', '原本', '我', '跟', '別人', '傳', 'LINE', '大概', '長', '這樣', 'ok', '好', '對不起', '好', '啦', '結果', '現在', '變', '這樣子', '歐給', '豪', '對', '不', '擠', '好', '辣', '和', '嗚嗚', '嗚', '不知道', '是', '不是', '因為', '讀', '商科', '然後', '女生', '多', '關係', '有', '時候', '跟', '他們', '聊', '天都', '會用', '這樣', '子講']"
9,239712867,姓「張」的小孩怎麼取名呢,看到別篇文章好有趣，想到這個蠻多人姓的姓，也不太好發揮諧音，想看看大家有什麼有趣的回答，我會取-張肖（英文自我介紹變囂張），然後真的想不出來了哈哈哈哈，網友們發揮創意吧！！！！,255fd275-fec2-49d2-8e46-2e1557ffaeb0,239694144.0,2022-08-15 18:01:40.809000+00:00,73,14,"['小孩', '取名', '有趣', '閒聊', '小孩子']",閒聊,姓段的小孩該怎麼取名呢？,[{'url': 'https://imgur.com/ZGx3FOz.jpg'}],姓張小孩怎麼取名呢看到別篇文章好有趣想到這個蠻多人姓姓也不太好發揮諧音想看看大家有什麼有趣回答我會取張肖英文自我介紹變囂張然後真想不出來了哈哈哈哈網友們發揮創意吧,"['姓張', '小孩', '怎麼', '取名', '呢', '看', '到', '別篇', '文章', '好', '有趣', '想到', '這個', '蠻', '多', '人', '姓', '姓', '也', '不太好', '發揮諧', '音想', '看', '看', '大家', '有', '什麼', '有趣', '回答', '我會', '取張', '肖英', '文自', '我', '介紹', '變', '囂張', '然後', '真想', '不', '出來', '了', '哈哈', '哈哈網', '友們', '發揮', '創意', '吧']"
