,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239703755,拉麵店只點叉燒飯,如題，小女子我對於麵類真的還好ˊ_>ˋ，但真的好喜歡某些拉麵店的叉燒飯ㄛ，如果去拉麵店只點叉燒飯會不會很奇怪啊,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 16:33:49.098000+00:00,9,9,"['拉麵', '拉麵店']",閒聊,,[],拉麵店只點叉燒飯如題小女子我對於麵類真還好ˊ_ˋ但真好喜歡某些拉麵店叉燒飯ㄛ如果去拉麵店只點叉燒飯會不會很奇怪啊,"['拉', '麵', '店', '只點', '叉燒飯', '如題', '小女子', '我', '對於', '麵', '類真', '還好', 'ˊ', '_', 'ˋ', '但', '真', '好', '喜歡', '某些', '拉', '麵', '店', '叉燒飯', 'ㄛ', '如果', '去', '拉', '麵', '店', '只點', '叉燒飯', '會不會', '很', '奇怪', '啊']"
1,239703701,穩定工作者報考美容美髮碩士班,想利用下班時間充實自己，順便補學歷，可以拓展生活圈就更好了～真的順利畢業我也不想轉行，只想把興趣變專長，我一定會認真學習深造！，這個想法會不會太天馬行空,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 16:27:41.070000+00:00,1,0,"['美容', '美髮', '交友']",閒聊,,[],穩定工作者報考美容美髮碩士班想利用下班充實自己順便補學歷可以拓展生活圈就更好了真順利畢業我也不想轉行只想把興趣變專長我一定會認真學習深造這個想法會不會太天馬行空,"['穩定', '工作者', '報考', '美容美', '髮', '碩士班想', '利用', '下班', '充實', '自己', '順便', '補', '學歷', '可以', '拓展', '生活', '圈', '就', '更', '好', '了', '真順利', '畢業', '我', '也', '不想', '轉行', '只', '想', '把', '興趣', '變', '專長', '我', '一', '定會', '認真', '學習', '深造', '這個', '想法', '會不會', '太', '天馬行空']"
2,239703614,尋人 8/14台中-台南和欣,坐晚上8.02分的車子，謝謝你貼心我中途睡覺讓我靠著睡著，真的很不好意思！希望可以認識你！穿covernat白T黑色短褲！,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 16:18:33.419000+00:00,1,2,"['尋人', '台中', '台南']",閒聊,,[],尋人814台中台南和欣坐晚上802分車子謝謝你貼心我中途睡覺讓我靠著睡著真很不好意思希望可以認識你穿covernat白T黑色短褲,"['尋人', '814', '台中', '台南', '和', '欣坐', '晚上', '802', '分車', '子', '謝謝', '你', '貼心', '我', '中途', '睡覺', '讓我', '靠', '著', '睡', '著', '真', '很', '不好意思', '希望', '可以', '認識', '你', '穿', 'covernat', '白', 'T', '黑色', '短褲']"
3,239703560,無聊,想認識高雄的朋友,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 16:13:12.853000+00:00,1,0,['閒聊'],閒聊,,[],無聊想認識高雄朋友,"['無聊', '想認', '識高雄', '朋友']"
5,239703550,今日高雄地面崩塌我真的傻眼,我真的覺得好誇張，總不可地面是空心的吧！住在這裡的居民也很可憐，聽說有人家是新蓋的直接無法住了唉，連這裡的店面也無法營業，可是我覺得會不會是隔壁挖一挖導致塌下去啊！其實呢辛苦消防人員了！我昨天去這裡買,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 16:12:15.538000+00:00,27,96,"['高雄', '建商']",閒聊,,[{'url': 'https://imgur.com/OvyGecs.jpg'}],今日高雄地面崩塌我真傻眼我真覺得好誇張總不可地面是空心吧住在這裡居民也很可憐聽說有人家是新蓋直接無法住了唉連這裡店面也無法營業可是我覺得會不會是隔壁挖一挖導致塌下去啊其實呢辛苦消防人員了我昨天去這裡買,"['今日', '高雄', '地面', '崩塌', '我', '真', '傻眼', '我', '真', '覺得', '好', '誇張', '總', '不可', '地面', '是', '空心', '吧', '住', '在', '這裡', '居民', '也', '很', '可憐', '聽', '說', '有', '人家', '是', '新蓋', '直接', '無法', '住', '了', '唉連', '這裡', '店面', '也', '無法', '營業', '可是', '我', '覺得', '會不會', '是', '隔壁', '挖', '一', '挖', '導致', '塌下去', '啊', '其實', '呢', '辛苦', '消防', '人員', '了', '我', '昨天', '去', '這裡', '買']"
6,239703547,夜店揪團,前陣子在外島玩最近剛回台北，然後朋友們都在各地玩還沒回來，所以想在這邊揪人一起去夜店，趁開學前去玩一下～,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 16:11:55.977000+00:00,17,4,"['夜店', '揪團', '閒聊', '台北']",閒聊,,[],夜店揪團前陣子在外島玩最近剛回台北然後朋友們都在各地玩還沒回來所以想在這邊揪人一起去夜店趁開學前去玩一下,"['夜店', '揪', '團前', '陣子', '在外', '島玩', '最近', '剛回', '台北', '然後', '朋友們', '都', '在', '各地', '玩還', '沒', '回來', '所以', '想', '在', '這邊', '揪', '人', '一起', '去', '夜店', '趁開', '學前', '去', '玩', '一下']"
7,239703414,令人著迷的肚臍垢味,*此篇沒有照片 請放心閱讀*，坐在電腦前無聊就拿棉花棒挖肚臍，突然腦袋抽一下想說聞看看，結果就回不去ㄌ，用兩根棉花棒挖挖挖，挖到沒味道ㄌ才停手，肚臍就變得紅紅的🤣，挖的時候感覺膀胱一直被戳的感覺，有想,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:59:58.576000+00:00,3,2,['肚臍'],閒聊,,[],令人著迷肚臍垢味此篇沒有照片請放心閱讀坐在電腦前無聊就拿棉花棒挖肚臍突然腦袋抽一下想說聞看看結果就回不去ㄌ用兩根棉花棒挖挖挖挖到沒味道ㄌ才停手肚臍就變得紅紅🤣挖時候感覺膀胱一直被戳感覺有想,"['令人', '著迷肚', '臍垢味', '此篇', '沒有', '照片', '請', '放心', '閱讀', '坐在', '電腦', '前無聊', '就', '拿', '棉花', '棒', '挖', '肚臍', '突然', '腦袋', '抽', '一下', '想', '說', '聞', '看', '看', '結果', '就', '回不去', 'ㄌ', '用', '兩根', '棉花', '棒', '挖', '挖', '挖', '挖', '到', '沒', '味道', 'ㄌ', '才', '停手', '肚臍', '就', '變得', '紅紅', '🤣', '挖', '時候', '感覺', '膀胱', '一直', '被', '戳', '感覺', '有', '想']"
8,239703392,柬埔寨#你是魔鬼中的天使嗎,相信好多人已經知道柬埔寨是危險地方了（嚴格說泰國是第一站 才輾轉到柬埔寨），但最近有2個新聞很有意思 我擺在一起看原來，竹聯幫也是幫兇，近日救幾個人想洗白還早得很,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:58:02.431000+00:00,3,12,"['柬埔寨', '詐騙', '時事']",閒聊,,[{'url': 'https://imgur.com/lHe2H1q.jpg'}],柬埔寨你是魔鬼中天使嗎相信好多人已經知道柬埔寨是危險地方了嚴格說泰國是第一站才輾轉到柬埔寨但最近有2個新聞很有意思我擺在一起看原來竹聯幫也是幫兇近日救幾個人想洗白還早得很,"['柬埔寨', '你', '是', '魔', '鬼', '中', '天使', '嗎', '相信', '好多', '人', '已經', '知道', '柬埔寨', '是', '危險', '地方', '了', '嚴格', '說泰', '國是', '第', '一站', '才', '輾轉', '到', '柬埔寨', '但', '最近', '有', '2', '個', '新聞', '很', '有', '意思', '我', '擺', '在', '一起', '看', '原來', '竹聯幫', '也', '是', '幫兇', '近日', '救', '幾個', '人想', '洗白', '還早', '得', '很']"
9,239703386,認真回覆推文，結果說刪就刪,我真的不知道那些人怎麼了，每一次針對他們的文章認真回覆，然後滿心期待上去看後續或是看別人回覆，結果，顯示的是對方已刪除文章⋯，唉，真的覺得早知道會刪文就不留言啦～不刪文很難嗎我就問。,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:57:27.193000+00:00,2,1,"['認真', '工作', '閒聊', '回覆', '推文']",閒聊,,[],認真回覆推文結果說刪就刪我真不知道那些人怎麼了每一次針對他們文章認真回覆然後滿心期待上去看後續或是看別人回覆結果顯示是對方已刪除文章⋯唉真覺得早知道會刪文就不留言啦不刪文很難嗎我就問,"['認真', '回覆', '推文', '結果', '說', '刪', '就', '刪', '我', '真', '不知道', '那些', '人', '怎麼', '了', '每', '一次', '針對', '他們', '文章', '認真', '回覆', '然後', '滿心期', '待', '上去', '看', '後續', '或是', '看', '別人', '回覆', '結果', '顯示', '是', '對方', '已', '刪除', '文章', '⋯', '唉', '真', '覺得', '早', '知道', '會', '刪文', '就', '不留', '言', '啦', '不刪', '文', '很', '難', '嗎', '我', '就問']"
10,239703362,什麼樣的情趣能保持新鮮感？,和女友已經在一起即將邁向三週年，真的很喜歡女友的每個小細節，包括她的缺點我也都很喜歡，因為她是那種有點小調皮的個性，所以我們生活總是很豐富（我們同居），但唯一很讓我招架不住的就是她總是很喜歡營造驚喜歡,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:53:50.701000+00:00,3,1,"['生活', '感情', '有趣', '女友', '日常']",閒聊,,"[{'url': 'https://imgur.com/57gcRRr.jpg'}, {'url': 'https://imgur.com/ChyTxbU.jpg'}]",什麼樣情趣能保持新鮮感和女友已經在一起即將邁向三週年真很喜歡女友每個小細節包括她缺點我也都很喜歡因為她是那種有點小調皮個性所以我們生活總是很豐富我們同居但唯一很讓我招架不住就是她總是很喜歡營造驚喜歡,"['什麼樣', '情趣', '能', '保持', '新鮮感', '和', '女友', '已經', '在', '一起', '即將', '邁向', '三週年', '真', '很', '喜歡', '女友', '每個', '小細節', '包括', '她', '缺點', '我', '也', '都', '很', '喜歡', '因為', '她', '是', '那種', '有點', '小調', '皮', '個性', '所以', '我們', '生活', '總', '是', '很', '豐富', '我們', '同居', '但', '唯一', '很', '讓我', '招架', '不住', '就是', '她', '總', '是', '很', '喜歡', '營造', '驚', '喜歡']"
11,239703341,柬埔寨工作⋯,本身很愛看一些有趣的帳號，不會留言或回覆，但就當開開眼界，之前看到這個奇幻帳號覺得很有趣，就一直追著每天當看綜藝，然後就在剛剛，突然看到這篇，蛤這是認真的嗎？我希望是反串開玩笑欸（雖然不好笑），不然我,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:51:53.929000+00:00,116,859,"['工作', '柬埔寨', '時事']",閒聊,,[{'url': 'https://imgur.com/UJryPU6.jpg'}],柬埔寨工作⋯本身很愛看一些有趣帳號不會留言或回覆但就當開開眼界之前看到這個奇幻帳號覺得很有趣就一直追著每天當看綜藝然後就在剛剛突然看到這篇蛤這是認真嗎我希望是反串開玩笑欸雖然不好笑不然我,"['柬埔寨', '工作', '⋯', '本身', '很', '愛看', '一些', '有趣', '帳號', '不會', '留言', '或', '回覆', '但', '就', '當開', '開眼界', '之前', '看到', '這個', '奇幻', '帳號', '覺得', '很', '有趣', '就', '一直', '追著', '每天', '當看', '綜藝', '然後', '就', '在', '剛剛', '突然', '看', '到', '這篇', '蛤', '這是', '認真', '嗎', '我', '希望', '是', '反串', '開玩笑', '欸', '雖然', '不', '好笑', '不然', '我']"
12,239703318,翊婷跟她男友,好奇想問一下是因為去美國的關係所以分開了嗎，版上都沒有合照了,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:49:08.286000+00:00,5,7,['感情'],閒聊,,[{'url': 'https://imgur.com/j429PgR.jpg'}],翊婷跟她男友好奇想問一下是因為去美國關係所以分開了嗎版上都沒有合照了,"['翊', '婷', '跟', '她', '男', '友好', '奇想', '問', '一下', '是', '因為', '去', '美國', '關係', '所以', '分開', '了', '嗎', '版', '上', '都', '沒有', '合照', '了']"
13,239703265,居隔後快篩還是陽性,如題，今天第十天了快篩還是陽性，雖然已經爬過很多文章，政府也表明說居隔滿7天不用快篩就可出門，（很害怕也有打1922詢問），但我的道德良知一直在攻擊我呀QQ，明天15、16是已經計劃很久的旅遊⋯，真的,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:42:32.664000+00:00,0,1,"['疫情', '請益']",閒聊,,[],居隔後快篩還是陽性如題今天第十天了快篩還是陽性雖然已經爬過很多文章政府也表明說居隔滿7天不用快篩就可出門很害怕也有打1922詢問但我道德良知一直在攻擊我呀QQ明天1516是已經計劃很久旅遊⋯真,"['居隔', '後', '快篩', '還是', '陽性', '如題', '今天', '第', '十天', '了', '快篩', '還是', '陽性', '雖然', '已經', '爬過', '很多', '文章', '政府', '也', '表明', '說', '居', '隔', '滿', '7', '天', '不用', '快篩', '就', '可', '出門', '很', '害怕', '也', '有', '打', '1922', '詢問', '但', '我', '道', '德良知', '一直', '在', '攻擊', '我', '呀', 'QQ', '明天', '1516', '是', '已經', '計劃', '很久', '旅遊', '⋯', '真']"
14,239703202,我真的很好奇IG那麼多正妹到底有幾個是整張臉全換的？,我每天在看我ig我都覺得那些那些女生怎麼可以這麼的完美，小臉，鎖骨，事業線，螞蟻腰，鉛筆腿，每一個都超正…重點是臉一個比一個還精緻，到底現在的醫美是整張換臉～還是這些女生的底子真的很好～好羨慕都想把自,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:35:18.700000+00:00,4,0,"['ig', '正妹', '女生', '生活', '閒聊']",閒聊,,[],我真很好奇IG那麼多正妹到底有幾個是整張臉全換我每天在看我ig我都覺得那些那些女生怎麼可以這麼完美小臉鎖骨事業線螞蟻腰鉛筆腿每一個都超正重點是臉一個比一個還精緻到底現在醫美是整張換臉還是這些女生底子真很好好羨慕都想把自,"['我', '真', '很', '好奇', 'IG', '那麼', '多', '正妹', '到底', '有', '幾個', '是', '整張', '臉', '全換', '我', '每天', '在', '看', '我', 'ig', '我', '都', '覺得', '那些', '那些', '女生', '怎麼', '可以', '這麼', '完美', '小臉', '鎖骨', '事業', '線', '螞蟻', '腰', '鉛', '筆腿', '每', '一個', '都', '超正', '重點', '是', '臉', '一個', '比', '一個', '還', '精', '緻', '到底', '現在', '醫美是', '整張', '換臉', '還是', '這些', '女生', '底子', '真', '很', '好', '好羨慕', '都', '想', '把', '自']"
15,239703192,機車車貸,貸轉區-中租專業汽機車貸款，請問有大大有在這個貸轉區-中租專業汽機車貸款申請過機車貸款嗎？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:34:37.165000+00:00,4,0,['車貸'],閒聊,,[],機車車貸貸轉區中租專業汽機車貸款請問有大大有在這個貸轉區中租專業汽機車貸款申請過機車貸款嗎,"['機車車', '貸貸', '轉區', '中租', '專業', '汽機車', '貸款', '請', '問有', '大大', '有', '在', '這', '個貸', '轉區', '中租', '專業', '汽機車', '貸款', '申請過', '機車', '貸款', '嗎']"
16,239703166,今年文博會在高雄💗,個人覺得辦的很好🤩，10/7～10/23還有台灣設計展在高雄喲,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:31:47.054000+00:00,4,11,"['高雄', '時事', '閒聊', '生活']",閒聊,,"[{'url': 'https://imgur.com/2ze2kwn.jpg'}, {'url': 'https://imgur.com/Fca89BF.jpg'}, {'url': 'https://imgur.com/XuZRSqJ.jpg'}]",今年文博會在高雄💗個人覺得辦很好🤩1071023還有台灣設計展在高雄喲,"['今年', '文', '博會', '在', '高雄', '💗', '個人', '覺得', '辦', '很', '好', '🤩', '1071023', '還有', '台灣', '設計展', '在', '高雄', '喲']"
17,239703163,怎麼加男友爸媽的line？,下個月就跟男友交往步入第五年，這期間見過男友父母 會聊天也會一起吃飯，跟他爸媽相處起來人都超好～（*´﹃｀），目前我們感情狀況很穩定，只是都還是大學生還沒畢業，現在很希望跟男友爸媽加line 畢竟很穩,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:31:21.166000+00:00,1,2,"['男友', '爸媽', 'line', '閒聊']",閒聊,,[],怎麼加男友爸媽line下個月就跟男友交往步入第五年這期間見過男友父母會聊天也會一起吃飯跟他爸媽相處起來人都超好´﹃｀目前我們感情狀況很穩定只是都還是大學生還沒畢業現在很希望跟男友爸媽加line畢竟很穩,"['怎麼', '加男友', '爸媽', 'line', '下個月', '就', '跟', '男友', '交往', '步入', '第', '五年', '這期間', '見過', '男友', '父母', '會聊天', '也', '會', '一起', '吃飯', '跟', '他', '爸媽', '相處', '起來', '人', '都', '超好', '´', '﹃', '｀', '目前', '我們', '感', '情狀', '況', '很', '穩定', '只是', '都', '還是', '大學生', '還沒', '畢業', '現在', '很', '希望', '跟', '男友', '爸媽加', 'line', '畢竟', '很', '穩']"
18,239703065,無聊想問女生們和男生們覺得為什麼會這樣,在我觀察下 不知道為什麼女生ㄧ到了大學在游泳時就會穿比基尼兩件式的？我的同學有兩種（都跟她們很好，麻吉的那種 沒有色情成分），1.高中都是大辣辣的女生，但高中階段都不會穿兩件式的，但ㄧ到了大學，馬上兩,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:21:39.879000+00:00,2,0,"['無聊', '女生']",閒聊,,[],無聊想問女生們和男生們覺得為什麼會這樣在我觀察下不知道為什麼女生ㄧ到了大學在游泳時就會穿比基尼兩件式我同學有兩種都跟她們很好麻吉那種沒有色情成分1高中都是大辣辣女生但高中階段都不會穿兩件式但ㄧ到了大學馬上兩,"['無聊', '想問', '女生', '們', '和', '男生們', '覺得', '為什麼', '會', '這樣', '在', '我', '觀察下', '不知道', '為什麼', '女生', 'ㄧ', '到', '了', '大學', '在', '游泳時', '就', '會', '穿', '比', '基尼', '兩件', '式', '我', '同學', '有', '兩種', '都', '跟', '她們', '很', '好', '麻吉', '那種', '沒有', '色情', '成分', '1', '高中', '都是', '大辣辣', '女生', '但', '高', '中階段', '都', '不會', '穿', '兩件', '式', '但', 'ㄧ', '到', '了', '大學', '馬', '上', '兩']"
19,239702982,初次約會話題無止盡真的是常態嗎？,最近開始使用交友軟體，也會和上面的人一起約出來出門，但有時候出來的過程裡就是會有一些空白時刻，就是突然不知道要講什麼彼此安靜開始想話題的時候（尷尬），不知道大家會不會也有這種困擾@@,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-14 15:13:15.422000+00:00,2,1,"['約會', '話題', '交友軟體', '感情']",閒聊,,[],初次約會話題無止盡真是常態嗎最近開始使用交友軟體也會和上面人一起約出來出門但有時候出來過程裡就是會有一些空白時刻就是突然不知道要講什麼彼此安靜開始想話題時候尷尬不知道大家會不會也有這種困擾,"['初次', '約會', '話題', '無止', '盡真', '是', '常態', '嗎', '最近', '開始', '使用', '交友', '軟體', '也', '會', '和', '上面', '人', '一起', '約', '出來', '出門', '但有', '時候', '出來', '過程裡', '就是', '會', '有', '一些', '空白', '時刻', '就是', '突然', '不知道', '要講', '什麼', '彼此', '安靜', '開始', '想話題', '時候', '尷尬', '不知道', '大家', '會不會', '也', '有', '這種', '困擾']"
