,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239687319,該如何更新自己的學校,小弟今年考分科有上新的學校，想上傳錄取截圖跟身分證，但這個頁面好像只能上傳一張照片,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:51:04.096000+00:00,4,4,[],閒聊,,[{'url': 'https://imgur.com/S2jLlwF.jpg'}],該如何更新自己學校小弟今年考分科有上新學校想上傳錄取截圖跟身分證但這個頁面好像只能上傳一張照片,"['該', '如何', '更', '新', '自己', '學校', '小弟', '今年', '考', '分科', '有', '上', '新', '學校', '想', '上傳', '錄取', '截圖', '跟身', '分證', '但', '這個', '頁', '面', '好像', '只能', '上傳', '一張', '照片']"
1,239687316,駐關島辦事處長投書媒體 批中國軍演破壞和平,（中央社記者侯姿瑩新加坡12日專電）台海局勢升溫之際，駐關島辦事處處長陳盈連今天投書當地媒體指出，中國近期在台灣周邊進行實彈軍演，嚴重破壞區域和平及穩定；台灣政府及人民將堅決捍衛主權、自由與民主。北京,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:50:54.761000+00:00,1,0,"['關島', '媒體', '中國', '軍演', '國際政治與外交']",閒聊,,[{'url': 'https://imgur.com/vNwIMdU.jpg'}],駐關島辦事處長投書媒體批中國軍演破壞和平中央社記者侯姿瑩新加坡12日專電台海局勢升溫之際駐關島辦事處處長陳盈連今天投書當地媒體指出中國近期在台灣周邊進行實彈軍演嚴重破壞區域和平及穩定台灣政府及人民將堅決捍衛主權自由與民主北京,"['駐', '關島', '辦事', '處長', '投書', '媒體', '批中', '國軍', '演破壞', '和平', '中央社', '記者', '侯姿瑩', '新加坡', '12', '日', '專電', '台海', '局勢', '升溫', '之際', '駐', '關島', '辦事處', '處長', '陳', '盈連', '今天', '投書', '當地', '媒體', '指出', '中國', '近期', '在', '台灣', '周邊', '進行', '實彈', '軍演', '嚴重破壞', '區域', '和平', '及', '穩定', '台灣政府', '及', '人民', '將', '堅決', '捍衛', '主權', '自由', '與', '民主', '北京']"
2,239687244,關於柬埔寨詐騙,純閒聊，為什麼台灣人在柬埔寨被稱為會行走的黃金，是台灣人特別好騙外國人不好騙？還是台灣的國際立場問題？20點求解,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:43:32.584000+00:00,7,0,"['柬埔寨', '詐騙', '閒聊', '時事']",閒聊,,[],關於柬埔寨詐騙純為什麼台灣人在柬埔寨被稱為會行走黃金是台灣人特別好騙外國人不好騙還是台灣國際立場問題20點求解,"['關於', '柬埔寨', '詐騙', '純', '為什麼', '台灣', '人', '在', '柬埔寨', '被', '稱', '為', '會行', '走', '黃', '金是', '台灣人', '特別', '好', '騙', '外國人', '不好', '騙', '還是', '台灣', '國際', '立場', '問題', '20', '點求解']"
3,239687221,#問卷調查 民眾購買行為,大家好我們是長庚大學的學生！，本次的問卷是有關於民眾的購買行為調查，近幾年來，隨著社群媒體的發展，市面上越來越多網紅或明星的聯名品項及代言商品，在五花八門的商品廣告中，人們在購買時是如何選擇的呢？因此,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:41:26.961000+00:00,0,1,"['問卷調查', '購買', '有趣', '閒聊', '生活']",閒聊,,[],問卷調查民眾購買行為大家好我們是長庚大學學生本次問卷是有關於民眾購買行為調查近幾年來隨著社群媒體發展市面上越來越多網紅或明星聯名品項及代言商品在五花八門商品廣告中人們在購買時是如何選擇呢因此,"['問卷調查', '民眾', '購買行', '為', '大家', '好', '我們', '是', '長', '庚', '大學', '學生', '本次', '問卷', '是', '有', '關於', '民眾', '購買行', '為', '調查', '近', '幾年', '來', '隨著', '社群', '媒體', '發展', '市面上', '越來', '越', '多', '網紅', '或', '明星聯', '名品', '項及', '代言', '商品', '在', '五花八門', '商品', '廣告', '中', '人們', '在', '購買時', '是', '如何', '選擇', '呢', '因此']"
4,239687183,[社群］歡迎加入職場閒聊line群✨,職場上總會遇到許多眉角，想找人抒發分享嗎？小小菜鳥初入職場，資深員工不好相處，男同事有意無意地吃豆腐，女上司刻意刁難，職業生涯的規劃，常常熬夜加班 需要人陪聊，求職艱辛過程分享，生活閒雜小事，記得曾經,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:37:49.258000+00:00,0,0,"['社群', '職場']",閒聊,,[],社群］歡迎加入職場line群✨職場上總會遇到許多眉角想找人抒發分享嗎小小菜鳥初入職場資深員工不好相處男同事有意無意地吃豆腐女上司刻意刁難職業生涯規劃常常熬夜加班需要人陪聊求職艱辛過程分享生活閒雜小事記得曾經,"['社群', '］', '歡迎', '加入', '職場', 'line', '群', '✨', '職', '場上', '總會', '遇到', '許多眉角', '想', '找', '人', '抒發', '分享', '嗎', '小', '小菜', '鳥', '初入', '職場', '資深', '員工', '不好', '相處', '男', '同事', '有意', '無意', '地', '吃豆腐', '女上司', '刻意', '刁難', '職業', '生涯', '規劃', '常常', '熬夜', '加班', '需要', '人', '陪', '聊求', '職', '艱辛', '過程', '分享', '生活', '閒雜', '小事', '記得', '曾經']"
5,239687179,哪邊有在賣燈罩太刺眼好閃,各位救救my eve，我剛去特力屋挑了3000k的，想說可以達到我喜歡的效果，（昏昏暗暗那種），結果並沒有快亮死我….,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:37:35.700000+00:00,0,0,"['燈罩', '救救我']",閒聊,,[{'url': 'https://imgur.com/zxBbclg.jpg'}],哪邊有在賣燈罩太刺眼好閃各位救救myeve我剛去特力屋挑了3000k想說可以達到我喜歡效果昏昏暗暗那種結果並沒有快亮死我,"['哪邊', '有', '在', '賣', '燈罩', '太', '刺眼', '好', '閃', '各位', '救救', 'myeve', '我剛', '去', '特力', '屋', '挑', '了', '3000k', '想', '說', '可以', '達到', '我', '喜歡', '效果', '昏昏', '暗暗', '那種', '結果並', '沒有', '快亮', '死', '我']"
6,239687177,這是什麼奇怪的信箱,請問這是什麼，我的ig信箱變成這個 都收不到驗證碼 也變更不了信箱,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:37:26.192000+00:00,2,0,"['信箱', 'IG', '被盜']",閒聊,,[{'url': 'https://imgur.com/ApsHjor.jpg'}],這是什麼奇怪信箱請問這是什麼我ig信箱變成這個都收不到驗證碼也變更不了信箱,"['這是', '什麼', '奇怪', '信箱', '請問', '這是', '什麼', '我', 'ig', '信箱', '變成', '這個', '都', '收', '不到', '驗證碼', '也', '變', '更', '不', '了', '信箱']"
7,239687141,8/13台中夜店,明天跟朋友兩個人會去夜店玩，有女孩子想一起的嗎 🤩,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:33:23.457000+00:00,7,7,"['台中', '夜店']",閒聊,,[],813台中夜店明天跟朋友兩個人會去夜店玩有女孩子想一起嗎🤩,"['813', '台中', '夜店', '明天', '跟', '朋友', '兩個', '人會', '去', '夜店', '玩', '有', '女孩子', '想', '一起', '嗎', '🤩']"
8,239687139,分科放榜 完蛋了 中間和中上大學即將被🐒入侵,今天看到分科結果，直接嚇一跳中間學校分數大跳水（尤其文組），像今年淡江 海大 等等地名大學 很多學測20初，但是分發來國立或私立頂，看來地名大學和私立頂的學校，要被一堆+9和搞爛了，開學感覺個申仔和分,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:33:13.901000+00:00,29,64,"['分科', '放榜', '完蛋']",閒聊,,[],分科放榜完蛋了中間和中上大學即將被🐒入侵今天看到分科結果直接嚇一跳中間學校分數大跳水尤其文組像今年淡江海大等等地名大學很多學測20初但是分發來國立或私立頂看來地名大學和私立頂學校要被一堆9和搞爛了開學感覺個申仔和分,"['分科', '放榜', '完蛋', '了', '中間', '和', '中', '上', '大學', '即將', '被', '🐒', '入侵', '今天', '看到', '分科', '結果', '直接', '嚇一跳', '中間', '學校', '分數', '大跳水', '尤', '其文', '組像', '今年', '淡江海大', '等', '等', '地名', '大學', '很多', '學測', '20', '初', '但是', '分發', '來', '國立', '或', '私立', '頂', '看來', '地名', '大學', '和', '私立', '頂', '學校', '要', '被', '一堆', '9', '和', '搞爛', '了', '開學', '感覺', '個', '申仔', '和', '分']"
9,239687106,郵輪工,如題，請問有什麼方法可以在郵輪上面工作的嗎～聽說一定要有什麼證照才可以上郵輪🤣,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-12 15:28:29.302000+00:00,0,0,"['郵輪', '遊輪', '工作', '閒聊']",閒聊,,[],郵輪工如題請問有什麼方法可以在郵輪上面工作嗎聽說一定要有什麼證照才可以上郵輪🤣,"['郵輪工', '如題', '請', '問有', '什麼', '方法', '可以', '在', '郵輪', '上面', '工作', '嗎', '聽', '說', '一定要', '有', '什麼', '證照', '才', '可以', '上', '郵輪', '🤣']"
